Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published
Confessions (Paperback),Kanae Minato,30,https://www.goodreads.com/book/show/19161835-confessions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401076501l/19161835._SX50_.jpg,3.95,"56,341 ",  2008
The Perfect Child (Kindle Edition),Lucinda Berry,30,https://www.goodreads.com/book/show/40886917-the-perfect-child,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547060657l/40886917._SX50_.jpg,4.04,"149,588 ",  2019
Open Water (Hardcover),Caleb Azumah Nelson,30,https://www.goodreads.com/book/show/53414230-open-water,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600095386l/53414230._SY75_.jpg,4.04,"69,202 ",  2021
"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,30,https://www.goodreads.com/book/show/59651555-stuck-with-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658764223l/59651555._SY75_.jpg,3.57,"136,626 ",  2022
"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,30,https://www.goodreads.com/book/show/50391615-cursed-fates,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578710951l/50391615._SY75_.jpg,4.33,"115,026 ",  2021
"The Takeover (Miles High Club, #2)",T.L. Swan,30,https://www.goodreads.com/book/show/52276459-the-takeover,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570138345l/52276459._SX50_SY75_.jpg,4.41,"118,089 ",  2020
"Addicted for Now (Addicted, #3)",Krista Ritchie,30,https://www.goodreads.com/book/show/55475477-addicted-for-now,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601268350l/55475477._SY75_.jpg,4.17,"74,027 ",  2013
Instructions for Dancing (Kindle Edition),Nicola Yoon,30,https://www.goodreads.com/book/show/55600878-instructions-for-dancing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611784820l/55600878._SY75_.jpg,3.97,"53,045 ",  2021
Pachinko (Kindle Edition),Min Jin Lee,30,https://www.goodreads.com/book/show/34051011-pachinko,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529845599l/34051011._SY75_.jpg,4.34,"509,984 ",  2017
"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer,30,https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559126810l/42952728._SY75_.jpg,3.89,"69,541 ",  2020
The Problem with Forever (Hardcover),Jennifer L. Armentrout,30,https://www.goodreads.com/book/show/26721568-the-problem-with-forever,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562769688l/26721568._SY75_.jpg,3.97,"62,860 ",  2016
"This Savage Song (Monsters of Verity, #1)",Victoria Schwab,30,https://www.goodreads.com/book/show/40642172-this-savage-song,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529942103l/40642172._SY75_.jpg,4.04,"105,082 ",  2016
Priceless (Kindle Edition),Miranda Silver,30,https://www.goodreads.com/book/show/50291659-priceless,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578269734l/50291659._SY75_.jpg,3.81,"15,623 ",  2020
Uprooted (Hardcover),Naomi Novik,30,https://www.goodreads.com/book/show/22544764-uprooted,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550135418l/22544764._SX50_.jpg,4.03,"245,233 ",  2015
"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,30,https://www.goodreads.com/book/show/17234658-a-thousand-pieces-of-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400166295l/17234658._SY75_.jpg,3.89,"59,678 ",  2014
