Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published,genre,num_pages,format,key
First Down,Grace Reilly,34,https://www.goodreads.com/book/show/81339977-first-down,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674227814l/81339977._SY75_.jpg,3.66,"64,072 ",2022.0,Romance,310 pages, Kindle Edition,firstdowngracereilly
The Inmate,Freida McFadden,34,https://www.goodreads.com/book/show/61149872-the-inmate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653271523l/61149872._SY75_.jpg,4.05,"583,424 ",2022.0,Thriller,388 pages, Kindle Edition,theinmatefreidamcfadden
Painted Scars,Neva Altaj,34,https://www.goodreads.com/book/show/60881793-painted-scars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650999321l/60881793._SY75_.jpg,3.76,"71,372 ",2022.0,Romance,240 pages, Kindle Edition,paintedscarsnevaaltaj
Brother,Ania Ahlborn,34,https://www.goodreads.com/book/show/23492624-brother,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423861593l/23492624._SY75_.jpg,3.93,"50,660 ",2015.0,Horror,319 pages, Paperback,brotheraniaahlborn
Everyone in This Room Will Someday Be Dead,Emily R. Austin,34,https://www.goodreads.com/book/show/59366182-everyone-in-this-room-will-someday-be-dead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655915331l/59366182._SY75_.jpg,3.86,"68,425 ",2021.0,Fiction,256 pages, Paperback,everyoneinthisroomwillsomedaybedeademilyraustin
Losers Part I,Harley Laroux,34,https://www.goodreads.com/book/show/60916772-losers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652320848l/60916772._SY75_.jpg,4.26,"34,464 ",2022.0,Reverse Harem,594 pages, Kindle Edition,loserspartiharleylaroux
Sabotage,Shantel Tessier,34,https://www.goodreads.com/book/show/60481939-sabotage,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646971619l/60481939._SY75_.jpg,3.82,"52,447 ",2022.0,Dark,229 pages,,sabotageshanteltessier
The Paris Apartment,Lucy Foley,34,https://www.goodreads.com/book/show/58468990-the-paris-apartment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645550948l/58468990._SY75_.jpg,3.66,"584,085 ",2022.0,Mystery,360 pages, Hardcover,theparisapartmentlucyfoley
River of Shadows,Karina Halle,34,https://www.goodreads.com/book/show/59531495-river-of-shadows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639747080l/59531495._SY75_.jpg,3.79,"15,645 ",2022.0,Fantasy,354 pages, Hardcover,riverofshadowskarinahalle
Lotus,Jennifer Hartmann,34,https://www.goodreads.com/book/show/57359837-lotus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615385337l/57359837._SY75_.jpg,4.21,"46,781 ",2021.0,Romance,344 pages, Kindle Edition,lotusjenniferhartmann
Paint It All Red,S.T. Abby,34,https://www.goodreads.com/book/show/33361549-paint-it-all-red,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481599246l/33361549._SY75_.jpg,4.56,"198,322 ",2016.0,Romance,177 pages, Kindle Edition,paintitallredstabby
Finding You,Lena Hendrix,34,https://www.goodreads.com/book/show/57506115-finding-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621531838l/57506115._SX50_.jpg,3.9,"16,135 ",2021.0,Romance,300 pages, Kindle Edition,findingyoulenahendrix
Wicked Beauty,Katee Robert,34,https://www.goodreads.com/book/show/58945351-wicked-beauty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632882923l/58945351._SX50_.jpg,3.95,"61,344 ",2022.0,Romance,402 pages, ebook,wickedbeautykateerobert
Maybe in Another Life,Taylor Jenkins Reid,34,https://www.goodreads.com/book/show/23492661-maybe-in-another-life,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424970519l/23492661._SY75_.jpg,3.79,"295,350 ",2015.0,Romance,342 pages, Paperback,maybeinanotherlifetaylorjenkinsreid
Stolen Heir,Sophie Lark,34,https://www.goodreads.com/book/show/196911424-stolen-heir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692110798l/196911424._SY75_.jpg,3.86,"76,454 ",2020.0,Romance,430 pages, Kindle Edition,stolenheirsophielark
Bloodmarked,Tracy Deonn,34,https://www.goodreads.com/book/show/59365195-bloodmarked,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665593512l/59365195._SY75_.jpg,4.31,"63,288 ",2022.0,Fantasy,576 pages, Hardcover,bloodmarkedtracydeonn
